Symptom,Disease
nausea and vomiting,Irritable Bowel Syndrome
head shaking,Tension Headache
painful urination,Sciatica
tiredness,Alopecia
chronic pain,Vitamin C Deficiency
frequent urination,Vitamin K Deficiency
pain in the chest,Hyperthyroidism
lump in breast,Urinary Tract Infection
irregular heartbeat,Hyperthyroidism
blurry vision,Leukemia
itchy scalp,Shingles
cramps and bloating,Hyperhidrosis
blue skin,Sinus Headache
itchy eyes,Cyanosis
heart irregularities,Hypotension
wheezing and coughing,Hyperhidrosis
hair loss,Migraine
blurred vision,Diabetes
head shaking,Atrial Fibrillation
wheezing and coughing,Hyperhidrosis
coughing up blood,Deep Vein Thrombosis
bloody cough,Seizures
difficulty breathing,Low Blood Sugar
frequent headaches,Ascites
numbness in legs,Tonsillitis
fatigue and weakness,Asthma
